,vehicle_id,vehicle_type,nr_of_stops,stopping_station_ids
0,EUR9148,EUR,3,"[u'007015400', u'008722326', u'008814001']"
1,IC1503,IC,15,"[u'008891009', u'008891140', u'008892007', u'008814001', u'008813003', u'008812005', u'008833001', u'008833308', u'008833605', u'008831807', u'008831039', u'008831005', u'008832375', u'008831781', u'008831765']"
2,IC1504,IC,15,"[u'008891009', u'008891140', u'008892007', u'008814001', u'008813003', u'008812005', u'008833001', u'008833308', u'008833605', u'008831807', u'008831039', u'008831005', u'008832375', u'008831781', u'008831765']"
3,IC1505,IC,16,"[u'008891405', u'008891009', u'008891140', u'008892007', u'008814001', u'008813003', u'008812005', u'008833001', u'008833308', u'008833605', u'008831807', u'008831039', u'008831005', u'008832375', u'008831781', u'008831765']"
4,IC1506,IC,16,"[u'008891405', u'008891009', u'008891140', u'008892007', u'008814001', u'008813003', u'008812005', u'008833001', u'008833308', u'008833605', u'008831807', u'008831039', u'008831005', u'008832375', u'008831781', u'008831765']"
5,IC1507,IC,16,"[u'008891405', u'008891009', u'008891140', u'008892007', u'008814001', u'008813003', u'008812005', u'008833001', u'008833308', u'008833605', u'008831807', u'008831039', u'008831005', u'008832375', u'008831781', u'008831765']"
6,IC1508,IC,16,"[u'008891405', u'008891009', u'008891140', u'008892007', u'008814001', u'008813003', u'008812005', u'008833001', u'008833308', u'008833605', u'008831807', u'008831039', u'008831005', u'008832375', u'008831781', u'008831765']"
7,IC1509,IC,16,"[u'008891405', u'008891009', u'008891140', u'008892007', u'008814001', u'008813003', u'008812005', u'008833001', u'008833308', u'008833605', u'008831807', u'008831039', u'008831005', u'008832375', u'008831781', u'008831765']"
8,IC1510,IC,16,"[u'008891405', u'008891009', u'008891140', u'008892007', u'008814001', u'008813003', u'008812005', u'008833001', u'008833308', u'008833605', u'008831807', u'008831039', u'008831005', u'008832375', u'008831781', u'008831765']"
9,IC1511,IC,13,"[u'008891405', u'008891009', u'008891140', u'008892007', u'008814001', u'008813003', u'008812005', u'008833001', u'008833308', u'008833605', u'008831807', u'008831039', u'008831005']"
10,IC1512,IC,16,"[u'008891405', u'008891009', u'008891140', u'008892007', u'008814001', u'008813003', u'008812005', u'008833001', u'008833308', u'008833605', u'008831807', u'008831039', u'008831005', u'008832375', u'008831781', u'008831765']"
11,IC1513,IC,16,"[u'008891405', u'008891009', u'008891140', u'008892007', u'008814001', u'008813003', u'008812005', u'008833001', u'008833308', u'008833605', u'008831807', u'008831039', u'008831005', u'008832375', u'008831781', u'008831765']"
12,IC1514,IC,16,"[u'008891405', u'008891009', u'008891140', u'008892007', u'008814001', u'008813003', u'008812005', u'008833001', u'008833308', u'008833605', u'008831807', u'008831039', u'008831005', u'008832375', u'008831781', u'008831765']"
13,IC1515,IC,16,"[u'008891405', u'008891009', u'008891140', u'008892007', u'008814001', u'008813003', u'008812005', u'008833001', u'008833308', u'008833605', u'008831807', u'008831039', u'008831005', u'008832375', u'008831781', u'008831765']"
14,IC1516,IC,16,"[u'008891405', u'008891009', u'008891140', u'008892007', u'008814001', u'008813003', u'008812005', u'008833001', u'008833308', u'008833605', u'008831807', u'008831039', u'008831005', u'008832375', u'008831781', u'008831765']"
15,IC1517,IC,16,"[u'008891405', u'008891009', u'008891140', u'008892007', u'008814001', u'008813003', u'008812005', u'008833001', u'008833308', u'008833605', u'008831807', u'008831039', u'008831005', u'008832375', u'008831781', u'008831765']"
16,IC1518,IC,16,"[u'008891405', u'008891009', u'008891140', u'008892007', u'008814001', u'008813003', u'008812005', u'008833001', u'008833308', u'008833605', u'008831807', u'008831039', u'008831005', u'008832375', u'008831781', u'008831765']"
17,IC1519,IC,16,"[u'008891405', u'008891009', u'008891140', u'008892007', u'008814001', u'008813003', u'008812005', u'008833001', u'008833308', u'008833605', u'008831807', u'008831039', u'008831005', u'008832375', u'008831781', u'008831765']"
18,IC1527,IC,13,"[u'008831005', u'008831039', u'008831807', u'008833605', u'008833308', u'008833001', u'008812005', u'008813003', u'008814001', u'008892007', u'008891140', u'008891009', u'008891405']"
19,IC1528,IC,16,"[u'008831765', u'008831781', u'008832375', u'008831005', u'008831039', u'008831807', u'008833605', u'008833308', u'008833001', u'008812005', u'008813003', u'008814001', u'008892007', u'008891140', u'008891009', u'008891405']"
20,IC1529,IC,16,"[u'008831765', u'008831781', u'008832375', u'008831005', u'008831039', u'008831807', u'008833605', u'008833308', u'008833001', u'008812005', u'008813003', u'008814001', u'008892007', u'008891140', u'008891009', u'008891405']"
21,IC1530,IC,16,"[u'008831765', u'008831781', u'008832375', u'008831005', u'008831039', u'008831807', u'008833605', u'008833308', u'008833001', u'008812005', u'008813003', u'008814001', u'008892007', u'008891140', u'008891009', u'008891405']"
22,IC1531,IC,16,"[u'008831765', u'008831781', u'008832375', u'008831005', u'008831039', u'008831807', u'008833605', u'008833308', u'008833001', u'008812005', u'008813003', u'008814001', u'008892007', u'008891140', u'008891009', u'008891405']"
23,IC1532,IC,16,"[u'008831765', u'008831781', u'008832375', u'008831005', u'008831039', u'008831807', u'008833605', u'008833308', u'008833001', u'008812005', u'008813003', u'008814001', u'008892007', u'008891140', u'008891009', u'008891405']"
24,IC1533,IC,17,"[u'008831765', u'008831781', u'008832375', u'008831005', u'008831039', u'008831807', u'008833605', u'008833308', u'008833001', u'008811130', u'008812005', u'008813003', u'008814001', u'008892007', u'008891140', u'008891009', u'008891405']"
25,IC1534,IC,16,"[u'008831765', u'008831781', u'008832375', u'008831005', u'008831039', u'008831807', u'008833605', u'008833308', u'008833001', u'008812005', u'008813003', u'008814001', u'008892007', u'008891140', u'008891009', u'008891405']"
26,IC1535,IC,17,"[u'008831765', u'008831781', u'008832375', u'008831005', u'008831039', u'008831807', u'008833605', u'008833308', u'008833001', u'008811130', u'008812005', u'008813003', u'008814001', u'008892007', u'008891140', u'008891009', u'008891405']"
27,IC1536,IC,16,"[u'008831765', u'008831781', u'008832375', u'008831005', u'008831039', u'008831807', u'008833605', u'008833308', u'008833001', u'008812005', u'008813003', u'008814001', u'008892007', u'008891140', u'008891009', u'008891405']"
28,IC1537,IC,16,"[u'008831765', u'008831781', u'008832375', u'008831005', u'008831039', u'008831807', u'008833605', u'008833308', u'008833001', u'008812005', u'008813003', u'008814001', u'008892007', u'008891140', u'008891009', u'008891405']"
29,IC1538,IC,16,"[u'008831765', u'008831781', u'008832375', u'008831005', u'008831039', u'008831807', u'008833605', u'008833308', u'008833001', u'008812005', u'008813003', u'008814001', u'008892007', u'008891140', u'008891009', u'008891405']"
30,IC1539,IC,16,"[u'008831765', u'008831781', u'008832375', u'008831005', u'008831039', u'008831807', u'008833605', u'008833308', u'008833001', u'008812005', u'008813003', u'008814001', u'008892007', u'008891140', u'008891009', u'008891405']"
31,IC1540,IC,16,"[u'008831765', u'008831781', u'008832375', u'008831005', u'008831039', u'008831807', u'008833605', u'008833308', u'008833001', u'008812005', u'008813003', u'008814001', u'008892007', u'008891140', u'008891009', u'008891405']"
32,IC1541,IC,16,"[u'008831765', u'008831781', u'008832375', u'008831005', u'008831039', u'008831807', u'008833605', u'008833308', u'008833001', u'008812005', u'008813003', u'008814001', u'008892007', u'008891140', u'008891009', u'008891405']"
33,IC1542,IC,16,"[u'008831765', u'008831781', u'008832375', u'008831005', u'008831039', u'008831807', u'008833605', u'008833308', u'008833001', u'008812005', u'008813003', u'008814001', u'008892007', u'008891140', u'008891009', u'008891405']"
34,IC1543,IC,15,"[u'008831765', u'008831781', u'008832375', u'008831005', u'008831039', u'008831807', u'008833605', u'008833308', u'008833001', u'008812005', u'008813003', u'008814001', u'008892007', u'008891140', u'008891009']"
35,IC1544,IC,15,"[u'008831765', u'008831781', u'008832375', u'008831005', u'008831039', u'008831807', u'008833605', u'008833308', u'008833001', u'008812005', u'008813003', u'008814001', u'008892007', u'008891140', u'008891009']"
36,IC1607,IC,18,"[u'008891660', u'008891652', u'008891645', u'008891009', u'008891140', u'008892007', u'008814001', u'008813003', u'008812005', u'008833001', u'008833308', u'008833605', u'008831807', u'008831039', u'008831005', u'008832375', u'008831781', u'008831765']"
